Date : 2026-04-09 04:31:30
Directory : c:\Users\kiria\Desktop\fullstack\shopping_mall
Total : 422 files,  55827 codes, 1189 comments, 4111 blanks, all 61127 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         19 |     26,173 |          2 |         19 |     26,194 |
| TypeScript         |        261 |     19,733 |        820 |      2,414 |     22,967 |
| TypeScript JSX     |         89 |      4,950 |        253 |        694 |      5,897 |
| Markdown           |         15 |      2,651 |          4 |        720 |      3,375 |
| JavaScript         |         13 |      1,208 |         28 |        126 |      1,362 |
| PostCSS            |          2 |        413 |          0 |          4 |        417 |
| YAML               |          6 |        245 |         22 |         30 |        297 |
| JSON with Comments |         10 |        227 |          0 |         10 |        237 |
| PowerShell         |          4 |        112 |         28 |         45 |        185 |
| Makefile           |          1 |         64 |         12 |         28 |        104 |
| Docker             |          1 |         47 |         19 |         21 |         87 |
| Ignore             |          1 |          4 |          1 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |        422 |     55,827 |      1,189 |      4,111 |     61,127 |
| . (Files)                                                                                                              |         24 |     26,551 |         77 |        221 |     26,849 |
| .claude                                                                                                                |          1 |          6 |          0 |          1 |          7 |
| .github                                                                                                                |          1 |         25 |          9 |          8 |         42 |
| .github\workflows                                                                                                      |          1 |         25 |          9 |          8 |         42 |
| .yarn                                                                                                                  |          1 |        857 |          5 |         81 |        943 |
| .yarn\releases                                                                                                         |          1 |        857 |          5 |         81 |        943 |
| backend                                                                                                                |        181 |     10,559 |        624 |      2,075 |     13,258 |
| backend (Files)                                                                                                        |          9 |        349 |         12 |         27 |        388 |
| backend-e2e                                                                                                            |          9 |        108 |         11 |         21 |        140 |
| backend-e2e (Files)                                                                                                    |          5 |         79 |          3 |          9 |         91 |
| backend-e2e\src                                                                                                        |          4 |         29 |          8 |         12 |         49 |
| backend-e2e\src\backend                                                                                                |          1 |          8 |          0 |          3 |         11 |
| backend-e2e\src\support                                                                                                |          3 |         21 |          8 |          9 |         38 |
| backend\src                                                                                                            |        172 |     10,210 |        612 |      2,048 |     12,870 |
| backend\src (Files)                                                                                                    |          1 |         61 |          7 |         11 |         79 |
| backend\src\app                                                                                                        |          5 |        115 |          0 |         17 |        132 |
| backend\src\audit                                                                                                      |         10 |        392 |         29 |         86 |        507 |
| backend\src\audit (Files)                                                                                              |          5 |        175 |          1 |         29 |        205 |
| backend\src\audit\decorators                                                                                           |          1 |         13 |          9 |          5 |         27 |
| backend\src\audit\dto                                                                                                  |          2 |         56 |          0 |         19 |         75 |
| backend\src\audit\entity                                                                                               |          1 |         62 |         11 |         21 |         94 |
