Date : 2026-03-29 21:53:43
Directory : c:\Users\kiria\Desktop\fullstack\shopping_mall
Total : 252 files,  18455 codes, 609 comments, 2058 blanks, all 21122 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        167 |     13,586 |        441 |      1,378 |     15,405 |
| TypeScript JSX     |         25 |      1,249 |         55 |        199 |      1,503 |
| JavaScript         |         11 |      1,148 |         25 |        124 |      1,297 |
| Markdown           |          6 |        747 |          4 |        202 |        953 |
| JSON               |         18 |        619 |          2 |         18 |        639 |
| PostCSS            |          2 |        410 |          0 |          3 |        413 |
| YAML               |          6 |        244 |         22 |         30 |        296 |
| JSON with Comments |         10 |        225 |          0 |         10 |        235 |
| PowerShell         |          4 |        112 |         28 |         45 |        185 |
| Makefile           |          1 |         64 |         12 |         28 |        104 |
| Docker             |          1 |         47 |         19 |         21 |         87 |
| Ignore             |          1 |          4 |          1 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |        252 |     18,455 |        609 |      2,058 |     21,122 |
| . (Files)                                                                                                              |         25 |      1,491 |         78 |        318 |      1,887 |
| .claude                                                                                                                |          1 |          6 |          0 |          1 |          7 |
| .github                                                                                                                |          1 |         25 |          9 |          8 |         42 |
| .github\workflows                                                                                                      |          1 |         25 |          9 |          8 |         42 |
| .yarn                                                                                                                  |          1 |        857 |          5 |         81 |        943 |
| .yarn\releases                                                                                                         |          1 |        857 |          5 |         81 |        943 |
| backend                                                                                                                |        121 |      6,262 |        351 |      1,216 |      7,829 |
| backend (Files)                                                                                                        |          9 |        342 |         12 |         27 |        381 |
| backend-e2e                                                                                                            |          9 |        108 |         11 |         21 |        140 |
| backend-e2e (Files)                                                                                                    |          5 |         79 |          3 |          9 |         91 |
| backend-e2e\src                                                                                                        |          4 |         29 |          8 |         12 |         49 |
| backend-e2e\src\backend                                                                                                |          1 |          8 |          0 |          3 |         11 |
| backend-e2e\src\support                                                                                                |          3 |         21 |          8 |          9 |         38 |
| backend\src                                                                                                            |        112 |      5,920 |        339 |      1,189 |      7,448 |
| backend\src (Files)                                                                                                    |          1 |         61 |          7 |         11 |         79 |
| backend\src\app                                                                                                        |          5 |        101 |          0 |         17 |        118 |
| backend\src\audit                                                                                                      |          6 |        153 |          1 |         34 |        188 |
| backend\src\audit (Files)                                                                                              |          5 |        117 |          1 |         23 |        141 |
| backend\src\audit\entity                                                                                               |          1 |         36 |          0 |         11 |         47 |
| backend\src\auth                                                                                                       |         17 |      1,522 |        116 |        322 |      1,960 |
| backend\src\auth (Files)                                                                                               |          6 |      1,272 |         90 |        245 |      1,607 |
| backend\src\auth\decorators                                                                                            |          2 |         12 |          0 |          5 |         17 |
| backend\src\auth\dto                                                                                                   |          4 |         53 |         16 |         13 |         82 |
| backend\src\auth\entity                                                                                                |          1 |         31 |         10 |         13 |         54 |
| backend\src\auth\guards                                                                                                |          4 |        154 |          0 |         46 |        200 |
| backend\src\category                                                                                                   |          9 |        555 |         44 |        141 |        740 |
| backend\src\category (Files)                                                                                           |          5 |        487 |         44 |        119 |        650 |
| backend\src\category\dto                                                                                               |          3 |         40 |          0 |         11 |         51 |
| backend\src\category\entity                                                                                            |          1 |         28 |          0 |         11 |         39 |
| backend\src\common                                                                                                     |         12 |        729 |        101 |        117 |        947 |
| backend\src\common (Files)                                                                                             |          3 |        401 |         51 |         54 |        506 |
| backend\src\common\const                                                                                               |          2 |         40 |          0 |          4 |         44 |
| backend\src\common\dto                                                                                                 |          2 |        143 |         37 |         33 |        213 |
| backend\src\common\dto (Files)                                                                                         |          1 |         88 |         32 |         23 |        143 |
| backend\src\common\dto\validators                                                                                      |          1 |         55 |          5 |         10 |         70 |
| backend\src\common\entity                                                                                              |          1 |          9 |          0 |          3 |         12 |
| backend\src\common\guards                                                                                              |          1 |         49 |          5 |          9 |         63 |
| backend\src\common\interceptors                                                                                        |          1 |         37 |          6 |          6 |         49 |
| backend\src\common\seeds                                                                                               |          2 |         50 |          2 |          8 |         60 |
| backend\src\data                                                                                                       |          6 |        117 |          0 |          6 |        123 |
| backend\src\intrastructure                                                                                             |          7 |        538 |          9 |         64 |        611 |
| backend\src\intrastructure\emailVerify                                                                                 |          5 |        371 |          0 |         28 |        399 |
| backend\src\intrastructure\emailVerify (Files)                                                                         |          3 |        307 |          0 |         19 |        326 |
| backend\src\intrastructure\emailVerify\interfaces                                                                      |          1 |         15 |          0 |          3 |         18 |
| backend\src\intrastructure\emailVerify\providers                                                                       |          1 |         49 |          0 |          6 |         55 |
| backend\src\intrastructure\redis                                                                                       |          2 |        167 |          9 |         36 |        212 |
| backend\src\product                                                                                                    |         22 |      1,319 |         29 |        275 |      1,623 |
| backend\src\product (Files)                                                                                            |          5 |        885 |         26 |        170 |      1,081 |
| backend\src\product\dto                                                                                                |          6 |        140 |          0 |         31 |        171 |
| backend\src\product\entity                                                                                             |          9 |        246 |          3 |         66 |        315 |
| backend\src\product\entity (Files)                                                                                     |          3 |        133 |          3 |         37 |        173 |
| backend\src\product\entity\beauty                                                                                      |          1 |         21 |          0 |          4 |         25 |
| backend\src\product\entity\book                                                                                        |          1 |         14 |          0 |          5 |         19 |
| backend\src\product\entity\clothing                                                                                    |          1 |         33 |          0 |          8 |         41 |
| backend\src\product\entity\food                                                                                        |          1 |         13 |          0 |          2 |         15 |
| backend\src\product\entity\living-product                                                                              |          1 |         22 |          0 |          7 |         29 |
| backend\src\product\entity\shoes                                                                                       |          1 |         10 |          0 |          3 |         13 |
| backend\src\product\events                                                                                             |          1 |         19 |          0 |          3 |         22 |
| backend\src\product\listeners                                                                                          |          1 |         29 |          0 |          5 |         34 |
| backend\src\review                                                                                                     |          6 |         68 |          0 |         20 |         88 |
| backend\src\review (Files)                                                                                             |          5 |         51 |          0 |         16 |         67 |
| backend\src\review\entity                                                                                              |          1 |         17 |          0 |          4 |         21 |
| backend\src\seller                                                                                                     |          8 |        600 |         32 |        135 |        767 |
| backend\src\seller (Files)                                                                                             |          5 |        516 |         32 |        106 |        654 |
| backend\src\seller\dto                                                                                                 |          2 |         37 |          0 |         12 |         49 |
| backend\src\seller\entity                                                                                              |          1 |         47 |          0 |         17 |         64 |
| backend\src\user                                                                                                       |          7 |         94 |          0 |         29 |        123 |
| backend\src\user (Files)                                                                                               |          5 |         51 |          0 |         16 |         67 |
| backend\src\user\entity                                                                                                |          2 |         43 |          0 |         13 |         56 |
| backend\src\wish-list                                                                                                  |          6 |         63 |          0 |         18 |         81 |
| backend\src\wish-list (Files)                                                                                          |          5 |         51 |          0 |         16 |         67 |
| backend\src\wish-list\entity                                                                                           |          1 |         12 |          0 |          2 |         14 |
| frontend                                                                                                               |         46 |      2,262 |        121 |        322 |      2,705 |
| frontend (Files)                                                                                                       |          8 |        230 |         18 |         25 |        273 |
| frontend\specs                                                                                                         |          1 |          9 |          0 |          2 |         11 |
| frontend\src                                                                                                           |         37 |      2,023 |        103 |        295 |      2,421 |
| frontend\src\app                                                                                                       |          9 |        501 |          2 |         26 |        529 |
| frontend\src\app (Files)                                                                                               |          4 |        456 |          2 |         10 |        468 |
| frontend\src\app\admin                                                                                                 |          1 |          6 |          0 |          2 |          8 |
| frontend\src\app\api                                                                                                   |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\api\hello                                                                                             |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\login                                                                                                 |          1 |         14 |          0 |          4 |         18 |
| frontend\src\app\product                                                                                               |          1 |         15 |          0 |          7 |         22 |
| frontend\src\app\register                                                                                              |          1 |          7 |          0 |          2 |          9 |
| frontend\src\components                                                                                                |         16 |      1,042 |         46 |        150 |      1,238 |
| frontend\src\components\banner                                                                                         |          2 |        120 |         13 |         14 |        147 |
| frontend\src\components\forms                                                                                          |          3 |        547 |         18 |         77 |        642 |
| frontend\src\components\header                                                                                         |         10 |        358 |         15 |         54 |        427 |
| frontend\src\components\header (Files)                                                                                 |          1 |         20 |          0 |          3 |         23 |
| frontend\src\components\header\categoryBar                                                                             |          1 |          6 |          0 |          2 |          8 |
| frontend\src\components\header\mainHeader                                                                              |          1 |          6 |          0 |          2 |          8 |
| frontend\src\components\header\navbar                                                                                  |          5 |        302 |         15 |         42 |        359 |
| frontend\src\components\header\topbar                                                                                  |          2 |         24 |          0 |          5 |         29 |
| frontend\src\components\layout                                                                                         |          1 |         17 |          0 |          5 |         22 |
| frontend\src\contexts                                                                                                  |          1 |         91 |          7 |         20 |        118 |
| frontend\src\hook                                                                                                      |          2 |         44 |         12 |          9 |         65 |
| frontend\src\lib                                                                                                       |          3 |        161 |         27 |         38 |        226 |
| frontend\src\lib\axios                                                                                                 |          1 |        111 |         27 |         33 |        171 |
| frontend\src\lib\react-query                                                                                           |          2 |         50 |          0 |          5 |         55 |
| frontend\src\model                                                                                                     |          1 |         28 |          0 |         11 |         39 |
| frontend\src\providers                                                                                                 |          1 |         19 |          0 |          5 |         24 |
| frontend\src\service                                                                                                   |          4 |        137 |          9 |         36 |        182 |
| mocks                                                                                                                  |         16 |      7,028 |          5 |         36 |      7,069 |
| mocks (Files)                                                                                                          |          8 |        139 |          4 |         17 |        160 |
| mocks\src                                                                                                              |          8 |      6,889 |          1 |         19 |      6,909 |
| mocks\src (Files)                                                                                                      |          1 |          1 |          0 |          1 |          2 |
| mocks\src\lib                                                                                                          |          7 |      6,888 |          1 |         18 |      6,907 |
| mocks\src\lib (Files)                                                                                                  |          1 |          6 |          0 |          0 |          6 |
| mocks\src\lib\beauty                                                                                                   |          1 |        884 |          0 |          3 |        887 |
| mocks\src\lib\book                                                                                                     |          1 |      1,959 |          1 |          2 |      1,962 |
| mocks\src\lib\clothing                                                                                                 |          1 |      1,030 |          0 |          3 |      1,033 |
| mocks\src\lib\food                                                                                                     |          1 |        895 |          0 |          3 |        898 |
| mocks\src\lib\livingProduct                                                                                            |          1 |      1,246 |          0 |          3 |      1,249 |
| mocks\src\lib\shoes                                                                                                    |          1 |        868 |          0 |          4 |        872 |
| shared                                                                                                                 |         32 |        416 |         29 |         55 |        500 |
| shared (Files)                                                                                                         |          8 |        131 |          4 |         17 |        152 |
| shared\src                                                                                                             |         24 |        285 |         25 |         38 |        348 |
| shared\src (Files)                                                                                                     |          1 |          1 |          0 |          1 |          2 |
| shared\src\lib                                                                                                         |         23 |        284 |         25 |         37 |        346 |
| shared\src\lib (Files)                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| shared\src\lib\types                                                                                                   |         22 |        283 |         25 |         37 |        345 |
| shared\src\lib\types (Files)                                                                                           |          2 |         11 |          0 |          0 |         11 |
| shared\src\lib\types\auth                                                                                              |          3 |         39 |         23 |          8 |         70 |
| shared\src\lib\types\product                                                                                           |         11 |        202 |          2 |         25 |        229 |
| shared\src\lib\types\product (Files)                                                                                   |          4 |        125 |          2 |         10 |        137 |
| shared\src\lib\types\product\categories                                                                                |          7 |         77 |          0 |         15 |         92 |
| shared\src\lib\types\review                                                                                            |          2 |          8 |          0 |          1 |          9 |
| shared\src\lib\types\user                                                                                              |          2 |         16 |          0 |          2 |         18 |
| shared\src\lib\types\wishList                                                                                          |          2 |          7 |          0 |          1 |          8 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                               | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\kiria\Desktop\fullstack\shopping_mall\.claude\settings.local.json                                             | JSON               |          6 |          0 |          1 |          7 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\.github\workflows\ci.yml                                                | YAML               |         25 |          9 |          8 |         42 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\.mcp.json                                                               | JSON               |         12 |          0 |          1 |         13 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\.prettierignore                                                         | Ignore             |          4 |          1 |          0 |          5 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\.prettierrc                                                             | JSON               |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\.yarn\releases\yarn-4.10.3.cjs                                          | JavaScript         |        857 |          5 |         81 |        943 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\.yarnrc.yml                                                             | YAML               |          8 |          3 |          3 |         14 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\CLAUDE.md                                                               | Markdown           |         13 |          3 |          6 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\CSP_SECURITY_GUIDE.md                                                   | Markdown           |        177 |          1 |         48 |        226 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\Dockerfile                                                              | Docker             |         47 |         19 |         21 |         87 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\Makefile                                                                | Makefile           |         64 |         12 |         28 |        104 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\README.md                                                               | Markdown           |         42 |          0 |         33 |         75 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\SECURITY_RECOMMENDATIONS.md                                             | Markdown           |        503 |          0 |        103 |        606 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\.spec.swcrc                                                 | JSON with Comments |         22 |          0 |          1 |         23 |
